"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"palpitedigital";"Palpite Digital";"69122331";"591663771397070848";"/palpitedigital/status/591663771397070848";"2015-04-24 18:03:30";1429898610;"Caixa postal internacional! Como funciona? http://goo.gl/fb/1x6f4n  #dicasdeinformáticaeinternet #geral #amazonlocker";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pt"">Caixa postal internacional! Como funciona? <a class=""twitter-timeline-link"" data-expanded-url=""http://goo.gl/fb/1x6f4n"" dir=""ltr"" href=""http://t.co/scpOcYHHgM"" rel=""nofollow noopener"" target=""_blank"" title=""http://goo.gl/fb/1x6f4n""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">goo.gl/fb/1x6f4n</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/dicasdeinform%C3%A1ticaeinternet?src=hash""><s>#</s><b>dicasdeinformáticaeinternet</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/geral?src=hash""><s>#</s><b>geral</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a></p>";"['http://goo.gl/fb/1x6f4n']";"['dicasdeinformáticaeinternet', 'geral', 'amazonlocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"r1chiesealey";"Richard Sealey";"334630556";"591286303339257856";"/r1chiesealey/status/591286303339257856";"2015-04-23 17:03:34";1429808614;"@MarkHonour @MarkJGillan @JayAFletcher88 @bibby2011 @JoannaxCx the best thing Ive seen 2day #Amazonlocker #Moorfieldspic.twitter.com/D3qGhBROGp";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2167663732"" dir=""ltr"" href=""/MarkHonour""><s>@</s><b>MarkHonour</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""756613502"" dir=""ltr"" href=""/MarkJGillan""><s>@</s><b>MarkJGillan</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""35202727"" dir=""ltr"" href=""/JayAFletcher88""><s>@</s><b>JayAFletcher88</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""332301021"" dir=""ltr"" href=""/bibby2011""><s>@</s><b>bibby2011</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""515758993"" dir=""ltr"" href=""/JoannaxCx""><s>@</s><b>JoannaxCx</b></a> the best thing Ive seen 2day <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazonlocker?src=hash""><s>#</s><b><strong>Amazonlocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Moorfields?src=hash""><s>#</s><b>Moorfields</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/D3qGhBROGp"">pic.twitter.com/D3qGhBROGp</a></p>";"[]";"['Amazonlocker', 'Moorfieldspic']";True;"['https://pbs.twimg.com/media/CDSrvh-W4AAK4xz.jpg']";"";3;0;1;True;False;"";"[]"
"DeejBruce";"DJ Remain Indoors Bruce 🏴󠁧󠁢󠁳󠁣󠁴󠁿";"18821935";"587572038694502401";"/DeejBruce/status/587572038694502401";"2015-04-13 11:04:25";1428923065;"Seems union square has something useful.  #Amazon #locker #amazonlocker #Aberdeen #unionsquare… https://instagram.com/p/1aasT4lEzX/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Seems union square has something useful.  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazon?src=hash""><s>#</s><b>Amazon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/locker?src=hash""><s>#</s><b>locker</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Aberdeen?src=hash""><s>#</s><b>Aberdeen</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/unionsquare?src=hash""><s>#</s><b>unionsquare</b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/1aasT4lEzX/"" dir=""ltr"" href=""https://t.co/cE5Q37Ez7Y"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/1aasT4lEzX/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/1aasT4lEzX/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/1aasT4lEzX/']";"['Amazon', 'locker', 'amazonlocker', 'Aberdeen', 'unionsquare']";False;"[]";"";0;0;0;False;False;"";"[]"
"andrecocuccio";"André Cocuccio";"53778105";"583753715917660161";"/andrecocuccio/status/583753715917660161";"2015-04-02 22:11:46";1428012706;"Late night #amazonlocker haul. My 6-year old is going to go absolutely mental this Easter ! Me too :) #RaspberryPipic.twitter.com/uM4JnHxLBY";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Late night <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> haul. My 6-year old is going to go absolutely mental this Easter ! Me too :) <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RaspberryPi?src=hash""><s>#</s><b>RaspberryPi</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/uM4JnHxLBY"">pic.twitter.com/uM4JnHxLBY</a></p>";"[]";"['amazonlocker', 'RaspberryPipic']";True;"['https://pbs.twimg.com/media/CBno6BGW0AEzTpJ.jpg']";"";0;0;0;False;False;"";"[]"
"TheChamp80";"TheChamp80";"137422455";"576788547946070016";"/TheChamp80/status/576788547946070016";"2015-03-14 16:54:40";1426352080;"Today I went to @CooperativeFood to get my @amazon delivery #whoknew #amazonlocker #amazing They also have a good #freefrom area #gf";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Today I went to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""4425735100"" dir=""ltr"" href=""/cooperativefood""><s>@</s><b>CooperativeFood</b></a> to get my <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a> delivery <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/whoknew?src=hash""><s>#</s><b>whoknew</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazing?src=hash""><s>#</s><b>amazing</b></a> They also have a good <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/freefrom?src=hash""><s>#</s><b>freefrom</b></a> area <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/gf?src=hash""><s>#</s><b>gf</b></a></p>";"[]";"['whoknew', 'amazonlocker', 'amazing', 'freefrom', 'gf']";False;"[]";"";0;0;1;True;False;"";"[]"
"hollymack";"Holly MacKenzie";"29964716";"576336483033997314";"/hollymack/status/576336483033997314";"2015-03-13 10:58:20";1426244300;"@shiv_mistry #amazonlocker";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""289953929"" dir=""ltr"" href=""/shiv_mistry""><s>@</s><b>shiv_mistry</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a></p>";"[]";"['amazonlocker']";False;"[]";"";0;0;0;False;True;"576335577974464512";"[{'screen_name': 'shiv_mistry', 'user_id': '289953929'}]"
"sspzeigler";"Sophie Zeigler";"2780731367";"575442073622605824";"/sspzeigler/status/575442073622605824";"2015-03-10 23:44:16";1426031056;"The future! @amazon #amazonlocker pic.twitter.com/r5Z5MTeQzw";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The future! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/r5Z5MTeQzw"">pic.twitter.com/r5Z5MTeQzw</a></p>";"[]";"['amazonlocker']";True;"['https://pbs.twimg.com/media/B_xhgr0WYAAKWGV.jpg']";"";0;0;0;False;False;"";"[]"
"DickieArmour";"🌎 Dickie Armour 🌎";"19414905";"572324052909613056";"/DickieArmour/status/572324052909613056";"2015-03-02 09:14:22";1425287662;"I love the @amazon locker concept! So convenient #Amazon #AmazonLocker pic.twitter.com/7rPIuYNhYH";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I love the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a> locker concept! So convenient <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazon?src=hash""><s>#</s><b>Amazon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/7rPIuYNhYH"">pic.twitter.com/7rPIuYNhYH</a></p>";"[]";"['Amazon', 'AmazonLocker']";True;"['https://pbs.twimg.com/media/B_FNsBDW4AAXAjC.jpg', 'https://pbs.twimg.com/media/B_FNsBKW0AAD53q.jpg']";"";0;1;0;False;False;"";"[]"
"rock_crawford1";"Rock";"2915773540";"572187183370645504";"/rock_crawford1/status/572187183370645504";"2015-03-02 00:10:29";1425255029;"Yaaaaas it's finally here :) #Kirby#WiiU  #RainbowCurse #Nintendo #Amazon #AmazonLocker https://instagram.com/p/ztGeGsBSUr/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yaaaaas it's finally here :) #Kirby#WiiU  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RainbowCurse?src=hash""><s>#</s><b>RainbowCurse</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Nintendo?src=hash""><s>#</s><b>Nintendo</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Amazon?src=hash""><s>#</s><b>Amazon</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AmazonLocker?src=hash""><s>#</s><b><strong>AmazonLocker</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/ztGeGsBSUr/"" dir=""ltr"" href=""https://t.co/rKXgwHOlzw"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/ztGeGsBSUr/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/ztGeGsBSUr/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/ztGeGsBSUr/']";"['Kirby', 'WiiU', 'RainbowCurse', 'Nintendo', 'Amazon', 'AmazonLocker']";False;"[]";"";0;0;0;False;False;"";"[]"
"AdamTheNagy";"Adam E Nagy";"23085371";"569794984452485120";"/AdamTheNagy/status/569794984452485120";"2015-02-23 09:44:45";1424684685;"First time I used @amazon's #amazonlocker and I think it's very convenient and easy to use. No missed postman :) pic.twitter.com/Fy8Wj7tpeq";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">First time I used <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""20793816"" dir=""ltr"" href=""/amazon""><s>@</s><b>amazon</b></a>'s <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/amazonlocker?src=hash""><s>#</s><b><strong>amazonlocker</strong></b></a> and I think it's very convenient and easy to use. No missed postman :) <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/Fy8Wj7tpeq"">pic.twitter.com/Fy8Wj7tpeq</a></p>";"[]";"['amazonlocker']";True;"['https://pbs.twimg.com/media/B-hRgvrIYAARvVK.jpg']";"";0;0;0;False;False;"";"[]"
