timestamp,tweet_text,username,all_hashtags,followers_count
15-04-2020 20:12,b'De \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa product refund after review with cover PayPal fee #amazon #amazonfreebie #amazonfreedomsale #freestyle #amazonfreetester #amazonfreeproduct #amazonfreegiftcards #amazonfreebies_need_reviewer #amazongermany #amazonreviewgermany #germanyamazon #german #amazongermany\xe2\x9d\x97 https://t.co/Ofke2aPjoN',b'AgentSeller',"['amazon', 'amazonfreebie', 'amazonfreedomsale', 'freestyle', 'amazonfreetester', 'amazonfreeproduct', 'amazonfreegiftcards', 'amazonfreebies_need_reviewer', 'amazongermany', 'amazonreviewgermany', 'germanyamazon', 'german', 'amazongermany']",22
,,,,
15-04-2020 20:12,"b""We must transcend the tides. Differences aside, we're all humans trying to survive the times. It's not too late to purchase your copy of FBTAR and save lives!  #peace #triumph #COVID19 #video #live #book #deals #amazon #TheGreatAwakening #UnitedNotDivided  https://t.co/ucqrGUvqRI""",b'ElijahO14394685',"['peace', 'triumph', 'COVID19', 'video', 'live', 'book', 'deals', 'amazon', 'TheGreatAwakening', 'UnitedNotDivided']",36
,,,,
15-04-2020 20:12,b'De \xf0\x9f\x87\xa9\xf0\x9f\x87\xaa product refund after review with cover PayPal fee #amazon #amazonfreebie #amazonfreedomsale #freestyle #amazonfreetester #amazonfreeproduct #amazonfreegiftcards #amazonfreebies_need_reviewer #amazongermany #amazonreviewgermany #germanyamazon #german #amazongermany\xe2\x9d\x97 https://t.co/k9xxGFdRh8',b'AgentSeller',"['amazon', 'amazonfreebie', 'amazonfreedomsale', 'freestyle', 'amazonfreetester', 'amazonfreeproduct', 'amazonfreegiftcards', 'amazonfreebies_need_reviewer', 'amazongermany', 'amazonreviewgermany', 'germanyamazon', 'german', 'amazongermany']",22
,,,,
15-04-2020 20:11,"b'In stock...DUDE Wipes, Mint Chill, 48 Count (Pack... https://t.co/HKzAzEcq3M #Amazon'",b'DUDEwipes',['Amazon'],13050
,,,,
15-04-2020 20:11,b'Since Covid-19 WE realized WE need a more connects with You all Our #51Dynasties....So WE have started a @discord Brand Channel contact US for entry always check https://t.co/xP0S3fIEOb for updates #goodvibes #GamerCouple #Microsoft #Apple #Amazon #Google #ContentCreatorCouple',b'SR51Media',"['51Dynasties', 'goodvibes', 'GamerCouple', 'Microsoft', 'Apple', 'Amazon', 'Google', 'ContentCreatorCouple']",3147
,,,,
15-04-2020 20:10,b'Pass the time \xf0\x9f\x8d\xa6  Hamilton Beach Automatic Ice Cream Maker for $30.06!!  #freebies #deals #deal #moneysaver #greatdeal #steals #discount #sale #bargain #bargainhunter #bargainshopper #cheap #bestprice #Amazon  #Deals #giveaway #Deal #ganga   https://t.co/dtnAwAhyra https://t.co/b82qnEc8Vr',b'CoolDealCA',"['freebies', 'deals', 'deal', 'moneysaver', 'greatdeal', 'steals', 'discount', 'sale', 'bargain', 'bargainhunter', 'bargainshopper', 'cheap', 'bestprice', 'Amazon', 'Deals', 'giveaway', 'Deal', 'ganga']",1073
,,,,
15-04-2020 20:10,"b""Umm, 104-Pack of Lay's Classic Potato Chips for $29!!!  #freebies #deals #deal #moneysaver #greatdeal #steals #discount #sale #bargain #bargainhunter #bargainshopper #cheap #bestprice #Amazon  #Deals #giveaway #Deal #ganga   https://t.co/iI55or2e3v https://t.co/BOAZczLiwQ""",b'CoolDealCA',"['freebies', 'deals', 'deal', 'moneysaver', 'greatdeal', 'steals', 'discount', 'sale', 'bargain', 'bargainhunter', 'bargainshopper', 'cheap', 'bestprice', 'Amazon', 'Deals', 'giveaway', 'Deal', 'ganga']",1073
,,,,
15-04-2020 20:10,b'Cordless Rechargeable Muscle Massage Gun only $33.98 \xf0\x9f\x94\xa5  #freebies #deals #deal #moneysaver #greatdeal #steals #discount #sale #bargain #bargainhunter #bargainshopper #cheap #bestprice #Amazon  #Deals #Deal #ganga   https://t.co/RIZQzitXuc https://t.co/MGDAVyacff',b'CoolDealCA',"['freebies', 'deals', 'deal', 'moneysaver', 'greatdeal', 'steals', 'discount', 'sale', 'bargain', 'bargainhunter', 'bargainshopper', 'cheap', 'bestprice', 'Amazon', 'Deals', 'Deal', 'ganga']",1073
,,,,
15-04-2020 20:10,b'France to Amazon: Ship only essentials in 24 hours or pay 1 million euros per day https://t.co/Z363SGaO3a #Companies https://t.co/eQQT8822Zi #France #to #Amazon #zamjenska #Ship #only #essentials #in #24 #hours #or #pay #1 #million #euros #per #day #  754',b'poandpo',"['Companies', 'France', 'to', 'Amazon', 'zamjenska', 'Ship', 'only', 'essentials', 'in', 'hours', 'or', 'pay', 'million', 'euros', 'per', 'day']",3482
,,,,
15-04-2020 20:09,b'Earn more with ADSREPAY STREAKS - https://t.co/K3w2DWuxWt https://t.co/yPDc6WFt78 via @YouTube  #earn #save #money #workfromhome #steeak #bonus #paypal #gpt #success #amazon #freelancers #youtubers #users',b'AdsRepay',"['earn', 'save', 'money', 'workfromhome', 'steeak', 'bonus', 'paypal', 'gpt', 'success', 'amazon', 'freelancers', 'youtubers', 'users']",372
,,,,
15-04-2020 20:09,"b'When your #amazon subscription order has t shown up yet and these are the only things close to paper towels  left in the house. Thanks @amandatsong #quarantinelife @ Waltham, Massachusetts https://t.co/ZRZU2amsSx'",b'lizhmccarthy',"['amazon', 'quarantinelife']",565
,,,,
15-04-2020 20:09,b'Available from Amazon Prime today #Middlesbrough #LeeDuffy #Boro #SouthBank #JamieBoyle #Amazon #Teesside #Parmo @leetheduffer \xf0\x9f\x8c\x95 https://t.co/2YvLqSBzqQ',b'jamieboyle10',"['Middlesbrough', 'LeeDuffy', 'Boro', 'SouthBank', 'JamieBoyle', 'Amazon', 'Teesside', 'Parmo']",1637
,,,,
15-04-2020 20:09,b'Little Tikes 2-in-1 Pirate Ship https://t.co/5e7flS1e75 #amazon #little-tikes',b'ilovesavingsca',"['amazon', 'little']",208
,,,,
15-04-2020 20:08,"b'As a customized machine, QUIN asks more direct questions than you average humans #nowstreaming #2050movie #amazon #itunes #artificialintelligence #stormimaya #deancain #superman #sexrobots #robots #scifi #fantasy #nowplaying #trending #twitter https://t.co/Io28gXDa7k'",b'2050Movie',"['nowstreaming', '2050movie', 'amazon', 'itunes', 'artificialintelligence', 'stormimaya', 'deancain', 'superman', 'sexrobots', 'robots', 'scifi', 'fantasy', 'nowplaying', 'trending', 'twitter']",460
,,,,
15-04-2020 20:08,"b""Enter the #giveaway to #win $15 worth of books from #Amazon or Book Depository at All the Ups and Downs' blog. https://t.co/2UPPgips34""",b'xMikkyMouse',"['giveaway', 'win', 'Amazon']",907
,,,,
15-04-2020 20:08,b'COMING SOON #NEWCASTLE #TYNESIDE #JAMIEBOYLEBOOKS #STEVEWRAITH #AMAZON #EVERYBOYSDREAM #GEORDIE #TYNE @andybee80 @stevewraith @TyneBooks @WaterstonesNewc @davecourtney666 @davey_huntley  @NewcastleCC @ChronicleNUFC https://t.co/ZsgmPDsKAF',b'jamieboyle10',"['NEWCASTLE', 'TYNESIDE', 'JAMIEBOYLEBOOKS', 'STEVEWRAITH', 'AMAZON', 'EVERYBOYSDREAM', 'GEORDIE', 'TYNE']",1637
,,,,
15-04-2020 20:06,"b'@Himayatullah64 I just made the #BESTSELLER list with the new book, on #AMAZON, you can get a free dowload of it today!!!  My gift to you!'",b'PeggyMercer',"['BESTSELLER', 'AMAZON']",11523
,,,,
15-04-2020 20:06,b'Win a $100 @amazon GC with us!  #superawesome #win #Amazon #challenge #fun #WednesdayWisdom https://t.co/rV7oq6mSAH',b'mysuperawesome2',"['superawesome', 'win', 'Amazon', 'challenge', 'fun', 'WednesdayWisdom']",3
,,,,
15-04-2020 20:06,b'Phishing kit prices skyrocketed in 2019 by 149% https://t.co/hyNJm2A6CN #Phishing #cybercrime #darkweb #cybercriminals #Amazon #Google #Instagram #Office365 #PayPal',b'shieldly',"['Phishing', 'cybercrime', 'darkweb', 'cybercriminals', 'Amazon', 'Google', 'Instagram', 'Office365', 'PayPal']",98
,,,,
15-04-2020 20:06,"b""@neuroganinc Here's our article about all the snake oil #CBD for sale on #Amazon: https://t.co/u5gpiPGy4N  tl,dr: NEVER buy CBD off Amazon, buy from a trusted brand we recommend (including Neurogan... we love their pre-rolls!)""",b'MinistryofHemp',"['CBD', 'Amazon']",6121
,,,,
15-04-2020 20:06,b'4-15 **AVAILABLE NOW** at #Amazon paper #book &amp; #ebook #kindle #film #camera available at https://t.co/EXQdDWPYVs #photography #art #photo #Arizona https://t.co/4uUv0wAWJZ',b'diomedes66',"['Amazon', 'book', 'ebook', 'kindle', 'film', 'camera', 'photography', 'art', 'photo', 'Arizona']",82440
,,,,
15-04-2020 20:05,b'Get them #KINDLES cranked up and get your #FREE copy now off #AMAZON...title is #BIGDADDYISLANDKUMBAYACOMEBYHERE...I am so excited to have a #BESTSELLER...yee haw. https://t.co/AYR2LGJO2C',b'PeggyMercer',"['KINDLES', 'FREE', 'AMAZON', 'BIGDADDYISLANDKUMBAYACOMEBYHERE', 'BESTSELLER']",11523
,,,,
15-04-2020 20:05,b'Natural Premium Organic Hemp Oil 2-PACK only $13.99!!  #freebies #deals #deal #moneysaver #greatdeal #steals #discount #sale #bargain #bargainhunter #bargainshopper #cheap #bestprice #Amazon  #Deals #giveaway #Deal #ganga   https://t.co/c6fPxb3MY9 https://t.co/5MiX8LoM7H',b'CoolDealCA',"['freebies', 'deals', 'deal', 'moneysaver', 'greatdeal', 'steals', 'discount', 'sale', 'bargain', 'bargainhunter', 'bargainshopper', 'cheap', 'bestprice', 'Amazon', 'Deals', 'giveaway', 'Deal', 'ganga']",1073
,,,,
15-04-2020 20:05,b'WD 2TB Elements Portable External Hard Drive for $64.99!! (Retail: $129.99)  #freebies #deals #deal #moneysaver #greatdeal #steals #discount #sale #bargain #bargainshopper #cheap #bestprice #Amazon  #Deals #giveaway #Deal #ganga   https://t.co/s6mX9qKQaE https://t.co/zHeO9NWWgc',b'CoolDealCA',"['freebies', 'deals', 'deal', 'moneysaver', 'greatdeal', 'steals', 'discount', 'sale', 'bargain', 'bargainshopper', 'cheap', 'bestprice', 'Amazon', 'Deals', 'giveaway', 'Deal', 'ganga']",1073
,,,,
15-04-2020 20:05,b'SNACK ALERT \xf0\x9f\x9a\xa8   40 Bags of 1oz Doritos Nacho Cheese Flavored Tortilla Chips only $10.62!!  #freebies #deals #deal #moneysaver #greatdeal #steals #discount #sale #bargain #bargainshopper #cheap #bestprice #Amazon  #Deals #giveaway #Deal #ganga   https://t.co/tyhoeeQXy5 https://t.co/iRk8b6rn4u',b'CoolDealCA',"['freebies', 'deals', 'deal', 'moneysaver', 'greatdeal', 'steals', 'discount', 'sale', 'bargain', 'bargainshopper', 'cheap', 'bestprice', 'Amazon', 'Deals', 'giveaway', 'Deal', 'ganga']",1073
,,,,
15-04-2020 20:05,"b""Neurogan tested the top 12 #CBD brands on #Amazon &amp; found they were ALL fake https://t.co/0H3Xl2zXxW   We've written about this before, but it's cool to see the proof. Also, look for us to review some great @neuroganinc products in the near future on our site.""",b'MinistryofHemp',"['CBD', 'Amazon']",6121
,,,,
15-04-2020 20:05,"b'Amazon Slaps Affiliates: ""You\'ve Prepared for This...RIGHT?"" https://t.co/JKR6HeY28r #amazon #amazonaffiliates #thebizcrush #KennethHolland https://t.co/yiTolq5UGQ'",b'KennethHolland',"['amazon', 'amazonaffiliates', 'thebizcrush', 'KennethHolland']",20107
,,,,
15-04-2020 20:03,b'How Amazon Search Engine Optimization Works? @BuyBoxExperts  https://t.co/XD6pZBn6h4  #amazon #amazonseo #branding #customerservice #onlinereputationmangement #ORM #SEOtips https://t.co/YYuEpBBz9y',b'BlueOceanGT',"['amazon', 'amazonseo', 'branding', 'customerservice', 'onlinereputationmangement', 'ORM', 'SEOtips']",39347
,,,,
